station_name,latitude,longitude,croptype(2023),timeseries,observing_depth
Canizal,41.19602936,-5.35996878,Sunflower (1410),2023/01/01~2025/01/01,0.000000~0.050000
Carretoro,41.26504286,-5.380489563,Other Cereals (1150),2023/01/01~2025/01/01,0.000000~0.050000
Casa_Periles,41.3939198,-5.321459983,Other Cereals (1150),2023/01/01~2025/01/01,0.000000~0.050000
Concejo_del_Monte,41.30010032,-5.247037587,Unclassified arable crop (3100),2023/01/01~2025/01/01,0.000000~0.050000
Granja-g,41.30582134,-5.375660357,Barley (1120),2023/01/01~2025/01/01,0.000000~0.050000
Guarrati,41.28919781,-5.467129897,Other Cereals (1150),2023/01/29~2025/01/01,0.000000~0.050000
La_Cruz_de_Elias,41.28546109,-5.300029544,Other Cereals (1150),2023/01/01~2025/01/01,0.000000~0.050000
Las_Eritas,41.20547819,-5.415578229,Sunflower (1410),2023/01/01~2025/01/01,0.000000~0.050000
Las_Vacas,41.34709032,-5.224742082,Wheat (1110),2023/01/01~2025/01/01,0.000000~0.050000
Las_Victorias,41.42413021,-5.374028326,Barley (1120),2023/01/01~2025/01/01,0.000000~0.050000
Llanos_de_la_Boveda,41.35756921,-5.331131774,Sunflower (1410),2023/01/01~2025/01/01,0.000000~0.050000
Zamarron,41.23922913,-5.544267886,Unclassified arable crop (3100),2023/01/01~2025/01/01,0.000000~0.050000
