station_name,latitude,longitude,croptype(2023),timeseries,observing_depth
ru-lse-27,53.870859114088155,12.08625071413134,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-08,53.86724724223487,12.076458528217973,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-06,53.86745236088333,12.07508958419457,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-01,53.86943666085211,12.08583155863232,Potatoes (1310),2023/06/04~2023/09/16,0.500000~0.500000
ru-lse-18,53.86943666085211,12.08583155863232,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-05,53.86772882514864,12.074808660828202,Fresh Vegetables (1210),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-29,53.87056927251969,12.088319737020141,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-15,53.87060940442917,12.083120425191824,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-11,53.86784922087709,12.075847631373655,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-12,53.86634650382207,12.077720453816102,Potatoes (1310),2023/06/04~2023/08/26,0.250000~0.250000
ru-lse-30,53.86813906244556,12.079241007275328,Potatoes (1310),2023/06/19~2023/09/16,0.250000~0.250000
ru-lse-24,53.870337399264905,12.085341057516441,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-03,53.87120246486928,12.085461453244884,Potatoes (1310),2023/06/04~2023/09/16,0.500000~0.500000
ru-lse-26,53.87120246486928,12.085461453244884,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-09,53.8668994323527,12.076458528217973,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-21,53.86829067188137,12.08807002736115,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-17,53.8698023071385,12.085118102463769,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-04,53.87102855992819,12.087338734788384,Potatoes (1310),2023/06/04~2023/09/16,0.500000~0.500000
ru-lse-28,53.87102855992819,12.087338734788384,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-20,53.86850024963088,12.08753939433579,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-07,53.867532624702285,12.075250111832492,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-13,53.866538245167376,12.077301298317074,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-16,53.86998958938275,12.08472124247001,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-23,53.87076993206709,12.084440319103646,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-14,53.87083235948184,12.082781533511762,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-02,53.871099905545044,12.083668894621397,Potatoes (1310),2023/06/04~2023/09/16,0.500000~0.500000
ru-lse-22,53.871099905545044,12.083668894621397,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-19,53.86903980085836,12.086710001539847,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-25,53.871447715427216,12.084560714832088,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
ru-lse-10,53.86690835055481,12.076850929110678,Potatoes (1310),2023/06/04~2023/09/16,0.250000~0.250000
