station_name,latitude,longitude,croptype(2023),timeseries,observing_depth
Tidewater_#1,35.86666785,-76.65000294,Corn,2023/01/01~2023/03/26,0.050800~0.050800
Onward,32.75357766,-90.9420773,Dbl Crop WinWht/Soybeans,2023/01/24~2025/12/31,0.050800~0.050800
Mayday,32.8615325,-90.51988962,Soybeans,2023/01/01~2025/12/30,0.050800~0.050800
River_Road_Farms,31.01912112,-85.03692545,Other Hay/Non Alfalfa,2023/01/01~2025/11/25,0.050800~0.050800
North_Issaquena,32.99720065,-91.05992689,Soybeans,2023/01/01~2025/03/06,0.050800~0.050800
Beasley_Lake,33.38333204,-90.65000173,Soybeans,2023/05/19~2025/11/24,0.050800~0.050800
Silver_City,33.0875019,-90.51151097,Soybeans,2023/01/01~2024/04/12,0.050800~0.050800
Sandy_Ridge,33.65910961,-90.5729663,Soybeans,2023/01/01~2025/12/31,0.050800~0.050800
Selma,32.40391725,-86.89137194,Cotton,2023/01/01~2025/03/16,0.050800~0.050800
Scott,33.61961981,-91.10183798,Soybeans,2023/01/01~2025/12/31,0.050800~0.050800
Perthshire,33.97370364,-90.90495975,Soybeans,2023/03/30~2025/12/31,0.050800~0.050800
Uapb-Marianna,34.78489885,-90.81768622,Soybeans,2023/01/01~2025/12/31,0.050800~0.050800
Uapb-Lonoke_Farm,34.84999726,-91.88333111,Rice,2023/02/23~2023/10/19,0.050800~0.050800
Tunica,34.6764,-90.41142198,Soybeans,2023/01/01~2025/03/02,0.050800~0.050800
Broad_Acres,32.28393176,-86.05253031,Cotton,2023/03/04~2025/01/18,0.050800~0.050800
Dexter,36.78332971,-89.93332609,Cotton,2023/01/01~2025/12/31,0.050800~0.050800
Little_River,31.4999995,-83.55000253,Other Hay/Non Alfalfa,2023/01/01~2025/12/10,0.050800~0.050800
Princeton_#1,37.09999723,-87.83333028,Soybeans,2023/02/05~2025/12/30,0.050800~0.050800
Allen_Farms,35.07470029,-86.89379769,Other Hay/Non Alfalfa,2023/01/01~2025/12/31,0.050800~0.050800
Geneva_#1,42.8833309,-77.03333402,Alfalfa,2023/01/01~2025/09/16,0.050800~0.050800
Mark_Twain_HS,39.51311111,-91.51400607,Soybeans,2023/05/18~2023/05/26,0.050800~0.050800
Bragg_Farm,34.89374996,-86.60236422,Soybeans,2023/01/01~2025/12/31,0.050800~0.050800
Cullman-NAHRC,34.19491965,-86.79897491,Other Hay/Non Alfalfa,2023/01/01~2025/11/20,0.050800~0.050800
CMRB_LTAR-MO,39.22850007,-92.11942267,Other Hay/Non Alfalfa,2023/01/01~2025/03/22,0.050800~0.050800
Spickard,40.24999985,-93.71666821,Other Hay/Non Alfalfa,2023/01/01~2025/12/31,0.050800~0.050800
Wedowee,33.33168227,-85.51818285,Cotton,2023/01/01~2025/03/22,0.050800~0.050800
Crescent_Lake_#1,45.41667106,-93.94999513,Corn,2023/04/11~2025/12/31,0.050800~0.050800
Eastview_Farm,35.13904957,-86.19113255,Corn,2023/01/01~2025/12/30,0.050800~0.050800
Molly_Caren_#1,39.95000045,-83.44999827,Corn,2023/03/23~2023/06/10,0.050800~0.050800
Ames,42.01666894,-93.73333187,Soybeans,2023/02/21~2025/12/31,0.050800~0.050800
UW_Platteville,42.7078519,-90.38990236,Corn,2023/01/16~2024/08/06,0.050800~0.050800
Vernon,34.01635049,-99.24639943,Other Hay/Non Alfalfa,2023/01/01~2025/02/25,0.050800~0.050800
Abrams,37.13130012,-97.08589808,Soybeans,2023/01/01~2025/12/31,0.050800~0.050800
Rogers_Farm_#1,40.84999866,-96.46666718,Corn,2023/01/16~2025/12/31,0.050800~0.050800
Rock_Springs_Pa,40.71667153,-77.93332776,Alfalfa,2023/01/04~2025/12/29,0.050800~0.050800
Shagbark_Hills,42.4333318,-95.76666858,Corn,2023/03/25~2023/06/23,0.050800~0.050800
San_Angelo,31.54960254,-100.5074778,Cotton,2023/05/03~2023/05/04,0.050800~0.050800
Phillipsburg,39.78638266,-99.32953045,Winter Wheat,2023/01/01~2025/12/31,0.050800~0.050800
Sidney,47.77101845,-104.2470003,Spring Wheat,2023/04/08~2025/12/27,0.050800~0.050800
Cook_Farm_Field_D,46.78372889,-117.0800791,Chick Peas,2023/01/17~2023/05/13,0.050800~0.050800
Lindsay,47.21414807,-105.187019,Other Hay/Non Alfalfa,2023/08/23~2023/08/24,0.050800~0.050800
Johnson_Farm,40.37041788,-101.7200991,Corn,2023/01/01~2025/12/31,0.050800~0.050800
Bushland_#1,35.1666737,-102.0999967,Sorghum,2023/01/01~2025/12/31,0.050800~0.050800
Green_River,39.01824899,-110.1626445,Alfalfa,2023/01/01~2025/12/30,0.050800~0.050800
Moccasin,47.0581821,-109.9508193,Alfalfa,2023/03/24~2025/03/22,0.050800~0.050800
Cache_Junction,41.81567942,-111.9804327,Winter Wheat,2023/04/12~2024/05/14,0.050800~0.050800
Morgan,40.99990026,-111.6855479,Barley,2023/04/27~2025/12/31,0.050800~0.050800
Blue_Creek,41.93530818,-112.4336022,Winter Wheat,2023/04/25~2025/12/31,0.050800~0.050800
Circleville,38.1513284,-112.2512205,Alfalfa,2023/05/03~2025/09/15,0.050800~0.050800
Manderfield,38.36648895,-112.6429079,Alfalfa,2023/01/01~2025/12/31,0.050800~0.050800
Panguitch,37.86974955,-112.4343736,Alfalfa,2023/03/29~2023/08/02,0.050800~0.050800
Eastland,37.77852972,-109.1719303,Winter Wheat,2023/01/01~2025/12/31,0.050800~0.050800
